id,hashtags,retweet_id,user_id,user_loc,user_time_zone,user_created_at,user_desc,created_at,retweet_count,text
969961958261714944,"['GunControl', 'GunLaws', 'LawAbiding', 'Criminals']",969916920643416064,2903166449,"Quincy, MA ",,Wed Dec 03 01:57:20 +0000 2014,"Born down on 8th street,brought up on L Street, Southie will always be my hometown! Cath,Pro Israel,Life,2A,USMCR,Love God,Family,Country, Humor always ! TRUMP",Sat Mar 03 15:45:26 +0000 2018,239,"b'RT @ANOMALY1: \xf0\x9f\x91\x8d@dbongino on #GunControl \n\n""#GunLaws are the only laws that affect the #LawAbiding &amp; don\'t affect #Criminals one bit""#IStand\xe2\x80\xa6'"
969961949424422912,"['GunControl', 'GunLaws', 'LawAbiding', 'Criminals']",969916920643416064,30644500,Gab.ai/@Marymac41,Atlantic Time (Canada),Sun Apr 12 12:45:19 +0000 2009,"Wife, Grizzly Mom, Artist, and Conservative!",Sat Mar 03 15:45:24 +0000 2018,239,"b'RT @ANOMALY1: \xf0\x9f\x91\x8d@dbongino on #GunControl \n\n""#GunLaws are the only laws that affect the #LawAbiding &amp; don\'t affect #Criminals one bit""#IStand\xe2\x80\xa6'"
969961946849120258,"['NRA', 'Guncontrol']",,4875599986,,,Thu Feb 04 03:46:54 +0000 2016,Follow to Discover all of your Gun Safety Needs! Get More Info In Each Tweet. Shop For Gun Safety On Amazon Today. #NRA *** https://t.co/eY9FHnF0FI ***,Sat Mar 03 15:45:23 +0000 2018,0,b'Classics 906 Five Gun Metal Storage Cabinet With Pistol Compartment https://t.co/UPMCbzAqRc #NRA #Guncontrol https://t.co/gL73xTEBnG'
969961929274994690,"['WakeUpAmerica', 'Communism', 'ObamaLegacy', 'Communist', 'Traitor', 'BarackObama', 'GunControl', 'GunControlNever', '2A']",969621135963934722,19099064,,Alaska,Sat Jan 17 03:14:27 +0000 2009,Fact based snark.Snippy retorts and socially meh. I tolerate leftist who are polite. I'm old and ept to bite.,Sat Mar 03 15:45:19 +0000 2018,3,b'RT @Ms1Scs: #WakeUpAmerica #Communism is INSIDE THE GATES \n\n#ObamaLegacy #Communist #Traitor #BarackObama #GunControl #GunControlNever #2A\xe2\x80\xa6'
969961893237542912,"['Liberal', '2AShallNotBeInfringed', 'GunControl', 'NoGunFreeZones']",969724464244998145,2208095516,"Texas, USA",Central Time (US & Canada),Fri Nov 22 01:17:09 +0000 2013,"🇺🇸 25 year retired Army Airborne Infantry, 82nd & 173rd Abn, Drill Sergeant, 4th ID, 1st Cavalry -Academics MS -Supports NRA & #MAGA",Sat Mar 03 15:45:11 +0000 2018,253,"b'RT @GemMar333: SIMPLE ENOUGH, EVEN A #Liberal CAN UNDERSTAND IT\xf0\x9f\x90\x91\xf0\x9f\x90\x91\xf0\x9f\x90\xba\xf0\x9f\x90\xba\n\n#2AShallNotBeInfringed \n#GunControl \n#NoGunFreeZones https://t.co/lHnd\xe2\x80\xa6'"
969961787398422528,['GunControl'],969925967597768707,227307359,CONNECTICUT,Pacific Time (US & Canada),Thu Dec 16 13:56:18 +0000 2010,"boomer,blue collar,irish,eng.,scotch.love fri nights crown royal+ginger, true stories,love my USA.",Sat Mar 03 15:44:45 +0000 2018,904,"b'RT @GeorgiaDirtRoad: ""Gun laws are the only laws that affect the law abiding &amp; DO NOT affect criminals one bit."" ~@dbongino on #GunControl\xe2\x80\xa6'"
969961746084614150,"['GunControl', 'DACA']",969961051423952896,1247563308,"Ohio, USA",,Thu Mar 07 00:39:54 +0000 2013,"Christian, Constitutionalist, Techie, Austrian economics of Milton Friedman, common sense.",Sat Mar 03 15:44:35 +0000 2018,21,b'RT @DocThompsonShow: The @DNC scream that the @GOP \xe2\x80\x9chates\xe2\x80\x9d &amp; won\xe2\x80\x99t pass #GunControl or #DACA...\n\nwhy didn\xe2\x80\x99t THEY do it 2009-2011???'
969961743026982917,"['Liberal', '2AShallNotBeInfringed', 'GunControl', 'NoGunFreeZones']",969724464244998145,799386321580072964,United States,,Thu Nov 17 22:58:45 +0000 2016,Democrats/Muslim/Islam all want death to America. Abortion is MURDER. #defundpp (destroy #DeepState) Get on #TrumpTrain #MAGA Yes #TheyFeelPain,Sat Mar 03 15:44:35 +0000 2018,253,"b'RT @GemMar333: SIMPLE ENOUGH, EVEN A #Liberal CAN UNDERSTAND IT\xf0\x9f\x90\x91\xf0\x9f\x90\x91\xf0\x9f\x90\xba\xf0\x9f\x90\xba\n\n#2AShallNotBeInfringed \n#GunControl \n#NoGunFreeZones https://t.co/lHnd\xe2\x80\xa6'"
969961691856302081,"['Data', 'GunControl']",,135665009,,Pacific Time (US & Canada),Wed Apr 21 23:30:56 +0000 2010,,Sat Mar 03 15:44:23 +0000 2018,0,"b'Regardless of what you think should be done, this is an interesting read with no opinion just #Data on google search trends. #GunControl  https://t.co/dRhsssuYGA'"
969961661703614464,"['guncontrol', 'MAGA', '2A']",969757572113805312,3185213122,,,Mon Apr 20 00:51:33 +0000 2015,,Sat Mar 03 15:44:15 +0000 2018,374,b'RT @SonofLiberty357: Most effective #guncontrol = no guns for democrats #MAGA #2A https://t.co/KRGjBpSQvP'
