"","x"
"814","t_holes"
"815","t_disarmed"
"816","t_gopxe2x80x99s"
"817","t_airlines"
"818","t_legislators"
"819","t_push"
"820","t_include"
"821","t_protecting"
"822","t_mean"
"823","t_lawabiding"
"824","t_together"
"825","t_parklandschoolshooting"
"826","t_tell"
"827","t_barackobama"
"828","t_morningjoe"
"829","t_cops"
"830","t_successful"
"831","t_question"
"832","t_watched"
"833","t_ones"
"834","t_hypocrisy"
"835","t_keep"
"836","t_cash"
"837","t_molonlabe"
"838","t_prove"
"839","t_liberalismisamentaldisorder"
"840","t_listen"
"841","t_safer"
"842","t_classroom"
"843","t_canxe2x80x99t"
"844","t_bots"
"845","t_david"
"846","t_hogg"
"847","t_past"
"848","t_history"
"849","t_happen"
"850","t_united"
"851","t_rental"
"852","t_24"
"853","t_corporate"
"854","t_policies"
"855","t_2ashallnotbeinfringed"
"856","t_issue"
"857","t_joined"
"858","t_turned"
"859","t_breitbartnews"
"860","t_refusing"
"861","t_encourage"
"862","t_unconstitutional"
"863","t_campus"
"864","t_arming"
"865","t_teachers"
"866","t_flush"
"867","t_cesspool"
"868","t_hit"
"869","t_washington"
"870","t_senatemajldr"
"871","t_blithering"
"872","t_devinnunes"
"873","t_impeach"
"874","t_boycott"
"875","t_dbongino"
"876","t_nyc"
"877","t_jackposobiec"
"878","t_fake"
"879","t_tomilahren"
"880","t_gunlobby"
"881","t_tough"
"882","t_rt"
"883","t_draw"
"884","t_red"
"885","t_nobody"
"886","t_humanity"
"887","t_case"
"888","t_podcast"
"889","t_public"
"890","t_wholefoods"
"891","t_doesnxe2x80x99t"
"892","t_taxes"
"893","t_sharing"
"894","t_theyll"
"895","t_owns"
"896","t_possible"
"897","t_action"
"898","t_lost"
"899","t_animals"
"900","t_nrabloodonyourhands"
"901","t_enough"
"902","t_meat"
"903","t_causes"
"904","t_step"
"905","t_trumptrain"
"906","t_voted"
"907","t_rather"
"908","t_problem"
"909","t_bit"
"910","t_analysis"
"911","t_including"
"912","t_puppet"
"913","t_constitutional"
"914","t_sound"
"915","t_yahoonews"
"916","t_compare"
"917","t_gives"
"918","t_minds"
"919","t_account"
"920","t_plans"
"921","t_along"
"922","t_link"
"923","t_becomes"
"924","t_march1nraboycott"
